mangaId,title,img,latestChapter,rating,src,description,authors
manga-nr990726,Rebirth Of The Immortal Venerable,/mangaimage/manga-nr990726.jpg,Chapter 209,3.83,/manga/manga-nr990726,"Rebirth of the Immortal Venerable summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Rebirth of the Immortal Venerable. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Daxiedao Anime
manga-os991475,"Yowaki Max Reijou Nanoni, Ratsuwan Konyakusha-Sama No Kake Ni Notte Shimatta",/mangaimage/manga-os991475.jpg,Chapter 22,4.77,/manga/manga-os991475,"Reincarnated as a mob villainess! But isn’t there something off about this situation?!I was reincarnated into an otome game as a count’s villainous daughter, Pia. But fearing my fate of banishment from the kingdom, I became extremely timid. After the annulment of my engagement and becoming a curator, the Prime Minister’s son steps forth and I’m thrown into an unexpected plot twist…?!",Oda Hiro
manga-nz990908,Dorei Wo Choukyoushite Harem Tsukuru,/mangaimage/manga-nz990908.jpg,Chapter 50: Training A New Brat,3.76,/manga/manga-nz990908,A MAN purchases three little slaves and begins to groom them into perfect girls for his harem. You will never have a gaggle of lolis with horns in your life. ;_;,Aldehyde
manga-hy985133,Target 1 Billion Points! Open The Ultimate Game Of Second Life!,/mangaimage/manga-hy985133.jpg,Chapter 74,3.89,/manga/manga-hy985133,"Xie Yu kept himself closed because of the death of his friend, immersed in the game world, until one day a mobile game called the ultimate game appeared on his mobile phone, when he learned that the game can achieve all the wishes, even the dead Can be resurrected, with 100 million points as the goal, and the second life of the dead house begins!",炽翊漫画
manga-fb983310,"I Was Reincarnated, And Now I'm A Maid!",/mangaimage/manga-fb983310.jpg,Chapter 89,4.74,/manga/manga-fb983310,"Yulia is reincarnated in a world set before the start of an otome game. She started working as a maid in the castle, but she is serving the princess who appears as a villain in the game! ""I won't let this cute princess become a villain!"" Rumored as a tough, impregnable maid, she herself will make sure to show the princess happiness! She will use her knowledge of her previous life and the life of magic to change the future of the game is what she thought, but for some reason, a knight who showed interest in her appears! Not taking falling in love into consideration, follow this talented maid through her fantasy!",Tanaka Tetete
manga-ml989594,Lan Ke Qi Yuan,/mangaimage/manga-ml989594.jpg,Chapter 203,4.66,/manga/manga-ml989594,"Lan Ke Qi Yuan is a Manga/Manhwa/Manhua in (English/Raw) language, Action series is written by Updating This Comic is About ""Leaves fell on the chess game by the side of Rotten Ke, and the old trees played against each other due to the uninteresting son of Tian Yuan, and then looked back on the vast mountains and seas When he woke up, Ji Yuan became a half-blind beggar in a dilapidated mountain temple. The sword, the sacred stick and one mouth are the foundation for Ji Yuan to settle down in this terrible world.""",阅文漫画
manga-lg988915,Blind Play,/mangaimage/manga-lg988915.jpg,Chapter 92,4.46,/manga/manga-lg988915,"If life's a game, then Ah-in's always been a loser. Growing up in an orphanage left him poor and emotionally scarred, but now he's determined to bypass the rat race and get rich quick. In his job as a gay masseur, Ah-in has a unique selling point: he pretends to be blind, offering his wealthy, powerful clients total confidentiality. One such client is Seo Ilmo, a mystery novelist with a spotless reputation and a dangerous compulsion. And when Ah-in pays a visit to Mr. Seo's apartment for an appointment, a fatal game of cat and mouse begins. This time, however, Ah-in cannot afford to be the loser…Editor's Comment : This comic contains scenes of graphic sexual violence that some readers may find uncomfortable.Notices:this will be a collab between nanami and delicee! please do support the author on lezhin",Yd / Like
manga-ii986243,"It Seems My Lady Is The Villainess With Only A Bad End, So I'm Thinking Of Saving Her",/mangaimage/manga-ii986243.jpg,Chapter 12,4.55,/manga/manga-ii986243,"I'm a character in an otome game?!I'm Vincent, the butler of the Count's daughter. One day, I suddenly remembered that this world is one of an otome game that I played in my previous life. Furthermore, I remembered that the lady I adore will die a violent death as the villainess! Huh? Don't mess with me! I'll destroy my lady's destruction flag!! As her loving butler (and a capture target), I'll do everything I can to help my lady avoid her bad end.This is an intense isekai reincarnation comedy!",Komori Kiri
manga-su951803,Boku Girl,/mangaimage/manga-su951803.jpg,Chapter 107.5 : Bonus: My Lunch-Box,4.78,/manga/manga-su951803,"Mizuki gets confessed to by a boy in front of a special Mirror. Legend has it, that if you confess to someone you like in front of that mirror your wish comes true! There is a slight Problem in this Equation: Mizuki is just a very feminine looking boy. Also it seems that he caught the Attention of the Norse Trickster God Loki while glancing into the Mirror. Loki decides out of boredom to mess with Mizuki and turns him into a real Girl. Hijinks ensue...",Sugito Akira
manga-be956713,Sankarea,/mangaimage/manga-be956713.jpg,Vol.11 Chapter 56.5: Extra: Sankarea If,4.74,/manga/manga-be956713,"Chihiro Furuya is a male high-school student having a keen fascination with zombies, collection zombie-associated videogames, movie and manga, and even to the idea of wanting to ""kiss a zombie girl"". After the departure of his pet cat, Babu, he tries to resurrect an old manuscript, which describes the procedure for making a potion for resurrection being used by it. Only at that time, he sees a girl named Rea Sanka, who has runaway at home. In a effort to commit suicide, she drinks an example of the ""resurrection"" potion that is made in the toxic Hydrangea macrophylla bloom, even though this fails to eliminate her. Following a disagreement with her dad, she dies and falls from a cliff by accident. Nevertheless, as an effect of the potion, she becomes. The storyline follows the existence of Chihiro and his new 'zombie girl-friend'.",Hattori Mitsuru
manga-eb982084,King's Maker,/mangaimage/manga-eb982084.jpg,Chapter 129,4.16,/manga/manga-eb982084,"Wolfgang Goldenleonard, the 4th Prince of the kingdom, returns to the palace after years of living in hiding. He rejects everything about his new royal life, but is intrigued by the mysterious and dutiful Shin Soohyuk, a catamite of the King. As Wolfgang slowly opens up and learns the ways of the palace, Soohyuk begins to see something special about the wild, unkempt, and stubborn young prince. He might just be the one Soohyuk has been waiting for... the one who could light the flame of rebellion.",Haga
manga-gg951363,Chihayafuru,/mangaimage/manga-gg951363.jpg,Chapter 247.5: Hana No Iro Wa - Chihayafuru Extra,4.14,/manga/manga-gg951363,"All her life, Chihaya's dream was to see her model sister become Japan's best... That is, until a quiet, unassuming transfer student named Arata tells her otherwise. A dream, he explains to her, is something she needs to work at herself. Arata plays a competitive version of a traditional Japanese card game, known as Hyakunin Isshu, in a way Chihaya has never seen before. After taking Arata's place in a game, Chihaya discovers she has a passion for it. Now Chihaya wants to become number one in the world, the Queen of Karuta. Note: Won the 2nd Manga Taisho Award and the 35th annual Kodansha Manga Award for Best Shoujo. Was nominated for the 20th Tezuka Osamu Cultural Prize in 2016.",Suetsugu Yuki
manga-qd994286,Half Succubus Wo Hirotta,/mangaimage/manga-qd994286.jpg,Chapter 62: Daily Doodle 19,4.14,/manga/manga-qd994286,Take a child half succubus and half human.,Zurikishi
manga-rq995273,The Girls I Couldn't Date Before,/mangaimage/manga-rq995273.jpg,Chapter 42,3.79,/manga/manga-rq995273,"I, Min Hyun-chan, died lonely after being pushed over by women all my life. But the goddess of sympathy and ""pushovers,"" gives me a second chance! Will I be able to survive well in my restart in life,  where I can survive only by having sex with girl friends I know?",Hope
manga-sy996107,Introduction To Survival,/mangaimage/manga-sy996107.jpg,Chapter 64: Completed,4.69,/manga/manga-sy996107,"Remember. ""One, two, three, four, five, six, seveneight"" I will remember it until the end. until the end On the day, my wife Julia was trampled on by them, all of my life and goals became stained with burning hatred. Yes, I have to kill those people. ""Bury me next to her on the day I have fulfilled my revenge."" Until then, I must survive. In this survival hunt",Haru (하루)
manga-tf996688,Overpowered Healer,/mangaimage/manga-tf996688.jpg,Chapter 51,4.32,/manga/manga-tf996688,"Summoned to another world and living as a mediocre healer, Sido, by a stroke of luck, begins to hear the voices of the gods. It turns out that the gods have been playing a long-term game with humans?!",Etchedwarp
manga-uu997929,Remote Angel,/mangaimage/manga-uu997929.jpg,,4.0,/manga/manga-uu997929,"After a freak accident of an attempted assault, she wakes up in a different apocalyptic universe. Gifted with mysterious powers of an earth angel, she dies in unfortunate occurrences. She wakes up to relive that day again in a confused manner. Depending on her choices, they could change history. (Hint: the butterfly effect!)",Yennie Fer
manga-up997972,Sorcerous Stabber Orphen - The Reckless Journey,/mangaimage/manga-up997972.jpg,,4.67,/manga/manga-up997972,"Poverty and Partners can always be counted on to make a bad situation worse. When trouble comes to town, Orphen finds himself forced to team up with the worst police officer on the force! Can he keep himself fed while avoiding friendly fire?",Akita Yoshinobu
manga-xq1000573,This Marriage Is So Sweet,/mangaimage/manga-xq1000573.jpg,Chapter 6,4.82,/manga/manga-xq1000573,"In a family alliance, Yan Shiqi got married to Qin Baiyu, the conservative fourth Master of the Qin family. Yan Shiqi originally thought that she would become a victim of a business marriage, but she didn’t expect… After the marriage, the conservative Fourth Master changed his reserved attitude and started showing affection and openly pampered his wife from time to time?!",漫西
manga-wh999990,Tribe Nine,/mangaimage/manga-wh999990.jpg,Chapter 3,5.0,/manga/manga-wh999990,"A battle action story based on the original work by ""Too Kyo Games"". The creative team is led by the creator of ""Danganronpa"", Odaka Kazutake!In the year 20xx, Neo Tokyo Country: Young people who despaired and gave up on society formed ""Tribes"" to create a place where they belong. As the war between Tribes intensified, The Neo-Tokyo government took action, and limited the war between the tribes into a sports called ""Extreme Baseball"", commonly known as XB Throwing, hitting and brawling. The young crowd put their pride on the line, and was addicted to the extremity of this game.As time passed--- Shirogane Haru, who was always bullied due to his defeatist temperament. Taiga, who travelled across the sea to become the strongest man alive. They both met up with Kamiya Shun, the strongest XB player and the leader of the Minato Tribe. ""I want to change myself!"" ""I just want to be the strongest man alive""",Kazutaka Kodaka
manga-we1000213,Suikoden,/mangaimage/manga-we1000213.jpg,Vol.3 Chapter 16: The Black Whirlwind - Wanted!,4.2,/manga/manga-we1000213,"Suikoden is the Japanese adaption of the Water Margin or Outlaws of the Marsh, one of the four great Chinese classical novels. The original story tells how a group of 108 outlaws are granted amnesty when they form an army to resist foreign invaders and suppress rebel forces. Winding through the maze of political and social ancient China, their adventure brings them up against the apathy and conservatism of the current government, where very little regard exists for the truly brave.",Yokoyama Mitsuteru
manga-xw1000705,Piercing Stab,/mangaimage/manga-xw1000705.jpg,Notice,4.57,/manga/manga-xw1000705,"""I'll pay a high price,"" said Seokju, the boss of the Taeho faction, to the crippled servant Ajin, marking the beginning of their relationship born out of a misunderstanding one night. ""Like you have a leg disease. I have insomnia. Shall we help each other as patients?"" Using Seokju's insomnia as an excuse, Ajin fell asleep in his embrace, becoming accustomed to his body temperature. ""I want to work at your place until I die."" ""Then just stay here. Here, in my room, sit on my knees. Let me bring the world to this room."" But doubts keep sprouting, despite sealing the cracks of happiness.""Ajin, you can't leave this room until you've paid off all your debts.""Now, this room became Ajin's world, yet he found solace in the fact that Seokju didn't abandon him.+",할로윈 (Halloween)
manga-xl1001194,The Male Lead's Boyfriend Is Obsessed With Me,/mangaimage/manga-xl1001194.jpg,Chapter 6,4.53,/manga/manga-xl1001194,"I was transmigrated into a a dark and melodramatic BL novel.Moreover, I became the villainess who was madly in love with the obsessive male lead, the boss of Baekcheon, and died in the first encounter with the main characters!I thought about changing their love story, which ended with the death of my favourite schemer, into a happy ending!""Let's go together, to my hell.""What? Did my favourite character just kidnap me?""I like you,”'“but this is too much.”To ensure that the story unfolded just like it did the novel, I tried to seduce my favourite character just enough that he would hesitate to kill me.""Why do you like me?""But something feels off.""Just try running away. That’s if you can, Princess.""""I’ve got my eyes on you right now, I'll go crazy if you do.""The male lead's boyfriend has started obsessing over me.""Please, Yeonbyeol...""""Don’t abandon me...""So dangerous and dizzying, it's impossible to escape!",김이룬
manga-cm980147,Zassou Tachi Yo Taishi Wo Idake,/mangaimage/manga-cm980147.jpg,Vol.1 Chapter 5 [End],4.53,/manga/manga-cm980147,"For average girls, high school is a time of insecurity, of finding yourself and railing against your imperfections. In one particular high school, five average, unpopular girls take life one day at a time, learning as they go, and stumbling as they try to find their footing.",Ikebe Aoi
manga-sl970194,Beast Of East - Touhou Memairoku,/mangaimage/manga-sl970194.jpg,Chapter 2,5.0,/manga/manga-sl970194,"A thousand years before Christ, the last king of an ancient dynasty was seduced by a fox spirit that caused chaos in his land and drove his people to despair, before she killed the king and was finally sealed by an exorcist. During the Heian Period that golden-haired, nine-tailed vixen, known as Daji in China and Kayo in India, reappeared in Japan...In Kyoto, misfortune befalls Mikuzu's family after her father nearly shoots a fox with an arrow. Now Mikuzu, with the help of her neighbour and a childhood friend Oniomaru, is looking for a way to cure him. But once the fox spirit abducts Mikuzu, meaning to recommence her misadventures in a new incarnation, the battle to save the girl and to restore the seal begins.",Yamada Akihiro
manga-pq966925,Horn,/mangaimage/manga-pq966925.jpg,Vol.1 Chapter 7 : Murderer,5.0,/manga/manga-pq966925,"A legend says: ""A long time ago, God created numerous hardships, he made statements to the world. That statement made each gatekeepers with outstanding abilities stay all around the world. They are called Hon.""NOTE: On hiatus",Kim Jong Ook
manga-kf960188,Black Trick,/mangaimage/manga-kf960188.jpg,Chapter 10,5.0,/manga/manga-kf960188,"From Chinatown KM:Lu Jianye's son recently got hit by a car. The hospital fees are very, very costly and Lu Jianye had spent all his money. He goes back to the company he used to work for and demands his shares to be returned. He had thought his problems were over. He had thought everything would be okay. It wasn't that simple. Though life has a lot more in store for him!In short, it's a story about money.",Nekosuki
manga-ng964615,Stupid Story,/mangaimage/manga-ng964615.jpg,Vol.1 Chapter 3,4.83,/manga/manga-ng964615,"Originally in GermanYanik is new at his school and doesn't want to be an outsider again. When he meets Alan he also wants to be as popular as him with the girls. But when Alan kissed Yanik to get rid of the girls, the admiration turns into disgust. But at a party where Yanik had to disguise himself as a girl Alan falls in love with the ""girl"" at first sight...",Anna Hollmann
manga-ro968971,Little Romance,/mangaimage/manga-ro968971.jpg,Vol.1 Chapter 7 : Little Romance,5.0,/manga/manga-ro968971,From Baka-Updates:Volume 3 of series. First 2 volumes are Kareshi Irimasenka and Kareshi no HimitsuContents1) Winter Romance (2 chapers)2) Love Inside the Hand (2 chapters)3) Little Romance (3 chapters)Kareshi Irimasen ka? (Prequel) 2001Kareshi no Himitsu (Prequel) 2003,Shimazaki Tokiya
manga-mf963762,"Lovers, Souls",/mangaimage/manga-mf963762.jpg,Vol.1 Chapter 5,4.88,/manga/manga-mf963762,"Summary refers to the Ohzora Shuppan re-print, 2007:1. Lovers and SoulsShinomiya is a beautiful college art student who lacks the morals common to most people. After agreeing to be a nude model for Matsuoka, a photography student, he also agrees to sleep with him for money even though he is straight. However, what started as a small taste of the forbidden soon spirals out of control when Shinomiya begins selling his body to other guys as a prostitute in a male brothel. Can Matsuoka save Shinomiya from himself?2. VanityAfter the events of Lovers and Souls, Tooru is still deeply heartbroken. Trying to find solace in Hikaru, Tooru challenges the terms of their friendship. But can he handle the consequences?3. Sleeping BeautyMatsuoka sees Tooru for the first time.4. A Moon in Name OnlyIn their last year of high school, Akihiko Nozaki admits to his best friend Kai that he's gay. Kai is stunned but it doesn't change their friendship, but Kai's curiosity is aroused and he begins to see Nozaki differently.5. The Name of that SkySequel to ""A Moon in Name Only"", told more from Nozaki's point of view. Nozaki isn't sure whether to trust that his relationship with Kai will last, since he's even been dumped by gay men before. What's to keep a guy who wasn't even gay from breaking up with him?",Miyamoto Kano
manga-pk992967,Hatsujou Virus,/mangaimage/manga-pk992967.jpg,Vol.1 Chapter 2,4.44,/manga/manga-pk992967,"Tatsumi, a lab technician, is severely haphephobic. After accidentally contracting an experimental virus, however, he finds himself craving touch... Particularly the touch of the man responsible for the incident, whom he's quarantined inside the laboratory with. From a relationship that started merely for the sake of sexual gratification during a moment of insanity and uncertainty, can love truly blossom?(Edited from a synopsis by Dark Black Fansub)",Tennouji Mio
manga-xm1001247,An Angel's Love At First Sight,/mangaimage/manga-xm1001247.jpg,Vol.1 Chapter 8,4.57,/manga/manga-xm1001247,A story about how an angel stops someone from committing suicide.,Hamita
manga-ib985758,Destined Pair? I Disagree!,/mangaimage/manga-ib985758.jpg,Chapter 7,4.11,/manga/manga-ib985758,"She was the queen of a nation and loved by God, but she turned down god’s love and gave freedom to the people. On the day of her speech, she got betrayed and assassinated. she then was cursed after her reincarnation and must find true love before her birthday, will she be able to find true love before it’s too late?",Lu Ma
manga-tl955894,Kyou No Asuka Show,/mangaimage/manga-tl955894.jpg,Vol.4 Chapter 48 : Asuka,4.71,/manga/manga-tl955894,Read some slice of Asuka-chan's normal life. And see how interesting some daily activites of a cute high schooler girl can be.,Mori Taishi
manga-oq992151,Love In Kitsch,/mangaimage/manga-oq992151.jpg,Side. : Side Story 2 [The End],4.63,/manga/manga-oq992151,"The Mandarin House, a kitschy B&B on Jeju island. Lured in by an ad featuring a hot guy, first-timer Yeonwoo is a bright-eyed and bushy-tailed 23 year old that has come to work here, looking for a little fun and excitement over the summer.The hot guy in the photo? Tae-hoon, your classic tsundere. Hard(body) on the outside, but you know he’s got that soft, gooey interior that just needs to be coaxed out. But things aren’t all soju and sun in paradise. Insatiable front desk manager, Hyun-soo, wants to get to know the newbie too. Soon, Yeonwoo is smack dab in the middle of a love triangle he had never anticipated. This is no reality show! Who will find love, who will get over the past and who will just get their rocks off this summer in ""Love in Kitsch""?",Dell Studio
manga-nc990711,Ghost Gate,/mangaimage/manga-nc990711.jpg,Promo. : Happy (Early) Halloween,4.03,/manga/manga-nc990711,"After staying behind in the office to work overtime, Giyoon accidentally spots Director Jung Yitae masturbating in the empty office. Disturbed by the immoral sight, he tries to leave. But an unknown force draws him closer to the man he does not get along with. After resolving to take a video of the director's unpleasant acts, the director catches him in the act and turns the situation against him. But, is this person really Director Jung Yitae? A dark and twisted relationship begins.",Mel
manga-tu958555,Ragnarok: Into The Abyss,/mangaimage/manga-tu958555.jpg,Vol.10 Chapter 103 [End],4.21,/manga/manga-tu958555,"Based loosely on norse mythology, Ragnarök is the term for the ""Twilight of the Gods"" the final destruction of the world. Christian equivalence would be Final Judgment.After 1000 years of peace, the wolf god Fenris Fenrir has been reborn. She seeks to find the reincarnation of Balder, the most beloved God, as the land of Midgard sinks further into anarchy. They are both key players in the coming of Ragnarok, the time when fate and free-will shall come into conflict as the very nature of the universe is forever redefined.The story begins with the reborn wolf god Fenris Fenrir in the form of a warlock. She is searching for the main character Chaos, a swordsman suffering from amnesia and possessing skills of a Dragon Knight who happens to be the incarnation of her love, Baldur. The story follows the journey of Fenris, Chaos, Iris (a cleric who is Chaos' friend), and Loki (one of the top assassins in Midgard), who are pursued by the Valkyries, lead by the war goddess, Freya.",Lee Myung-Jin
manga-co979923,Home Sweet Home Kim Carnby,/mangaimage/manga-co979923.jpg,Chapter 141,4.3,/manga/manga-co979923,"From the author and artist of Webtoon ""Bastard"". Now they're back with new story revolving around a boy who is a recluse. His parents died from an accident, and left him alone. http://comic.naver.com/webtoon/list.nhn?titleId=701081",Kim Carnby
manga-sb995484,A Girl Whose Dark Circles In Her Eyes Disappear As The Story Progresses - Fanbox,/mangaimage/manga-sb995484.jpg,Chapter 5,4.52,/manga/manga-sb995484,"fanbox artwork of""A Girl Whose Dark Circles in Her Eyes Disappear as the Story Progresses"".(no specific chapter order)",Suaru Hajime
manga-eq982173,Chiisana Mori No Ookami-Chan,/mangaimage/manga-eq982173.jpg,Vol.2 Chapter 20,4.7,/manga/manga-eq982173,"There's a small forest on the edge of town. People have long feared after being told not to enter the forest, for they may not return. The reason, because there's a scary wolf there...!?This is a story of a gentle and hardworking wolf living together with the other forest animals.",Wataame
manga-rp953124,Glow!,/mangaimage/manga-rp953124.jpg,Vol.2 Chapter 11.5,4.54,/manga/manga-rp953124,"Ever since he was a kid, Morisaki Aki has been loved by the spirit of misfortune. And it's continued, even after he started high school!He is then coerced by his upperclassmen, Akabane and Tokunaga, into joining the gardening club. But as it turns out, that was just a cover for... the Loan Shark Club! He gets involved with upperclassmen that not even the teachers would want to cross. And thus begins his unfortunate high school life. However, unbeknownst to him, mysterious feelings begin to bloom.These three guys with their clashing personalities grow together to paint a bold graffiti tag of teenage angst!",Yamada Papiko
manga-ks988327,Hetakuso Love Step,/mangaimage/manga-ks988327.jpg,Chapter 7 : [End],4.62,/manga/manga-ks988327,"Spring: the second year of university. A time when a student should be able to enjoy their freedom and youth. Even though Kotarou has no friends and no girlfriend, he enjoys his calm life.However, because his beautiful childhood friend Miyako was being pursued by the university playboy Yoshino Aoi, Kotarou was forced to pretend to be her boyfriend.Kotarou thought that he was able to fool Yoshino, but he was easily caught. ""I've given up on her, so I want to get along with you now.""Yoshino then takes Kotarou to the bathroom to teach him some things...",Yoriko
manga-rq994551,Into The Horizon,/mangaimage/manga-rq994551.jpg,Chapter 27,3.93,/manga/manga-rq994551,"Into The Horizon summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Into The Horizon. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Team S&
